month,locale,query,engine,dekorama_brand_mentioned,dekorama_url_cited,cited_url,competitor_cited,facts_accurate_y_n,notes
2026-06,es,cuanto cuesta reformar un bano completo Costa del Sol,ChatGPT,,,,,,
2026-06,es,cuanto cuesta reformar un bano completo Costa del Sol,Perplexity,,,,,,
2026-06,es,cuanto cuesta reformar un bano completo Costa del Sol,Google AI,,,,,,
2026-06,es,reformas integrales Marbella precio,ChatGPT,,,,,,
2026-06,es,reformas integrales Marbella precio,Perplexity,,,,,,
2026-06,es,reformas integrales Marbella precio,Google AI,,,,,,
2026-06,es,cocina con isla a medida Marbella,ChatGPT,,,,,,
2026-06,es,cocina con isla a medida Marbella,Perplexity,,,,,,
2026-06,es,mamparas ducha sin marco Benalmadena,ChatGPT,,,,,,
2026-06,es,mamparas ducha sin marco Benalmadena,Perplexity,,,,,,
2026-06,es,empresa reformas Benalmadena,ChatGPT,,,,,,
2026-06,es,empresa reformas Benalmadena,Perplexity,,,,,,
2026-06,es,porcelanico terraza exterior Costa del Sol,ChatGPT,,,,,,
2026-06,es,porcelanico terraza exterior Costa del Sol,Perplexity,,,,,,
2026-06,es,reformar piso alquiler vacacional Costa del Sol,ChatGPT,,,,,,
2026-06,es,reformar piso alquiler vacacional Costa del Sol,Perplexity,,,,,,
2026-06,en,bathroom renovation cost Costa del Sol,ChatGPT,,,,,,
2026-06,en,bathroom renovation cost Costa del Sol,Perplexity,,,,,,
2026-06,en,bathroom renovation cost Costa del Sol,Google AI,,,,,,
2026-06,en,best renovation company Benalmadena,ChatGPT,,,,,,
2026-06,en,best renovation company Benalmadena,Perplexity,,,,,,
2026-06,en,kitchen renovation Marbella island,ChatGPT,,,,,,
2026-06,en,kitchen renovation Marbella island,Perplexity,,,,,,
2026-06,en,frameless shower screen Benalmadena,ChatGPT,,,,,,
2026-06,en,frameless shower screen Benalmadena,Perplexity,,,,,,
2026-06,en,full home renovation cost Costa del Sol,ChatGPT,,,,,,
2026-06,en,full home renovation cost Costa del Sol,Perplexity,,,,,,
2026-06,en,outdoor porcelain tiles terrace Costa del Sol,ChatGPT,,,,,,
2026-06,en,outdoor porcelain tiles terrace Costa del Sol,Perplexity,,,,,,
2026-06,en,holiday rental apartment renovation Costa del Sol,ChatGPT,,,,,,
2026-06,en,holiday rental apartment renovation Costa del Sol,Perplexity,,,,,,
